検証軸,条件,ブロック,3枝パターン,出走数,勝率,市場期待勝率,勝A_E,勝z,複勝率,市場期待複勝率,複勝A_E,複勝z,単勝回収率,勝期待判定,複勝期待判定
競馬場×クッション値階層,京都×標準,父ブロック,地地地,528,0.058712121212121215,0.07701829625145831,0.7623139444740641,-1.6874993921758785,0.2178030303030303,0.23258484895974382,0.9364454790463502,-0.9753268934006846,63.88257575757576,やや弱,中立
競馬場×クッション値階層,東京×標準,父ブロック,地極地,528,0.032196969696969696,0.04660051066471011,0.6909145251352792,-1.6750784671913503,0.17045454545454544,0.15947280207105036,1.068862798175468,0.8271986137012287,36.212121212121204,やや弱,中立
競馬場×クッション値階層,中山×やや低,母母父ブロック,地極極,617,0.06158833063209076,0.07578623812925013,0.8126585004398099,-1.4367654758411739,0.2025931928687196,0.22586286211173448,0.8969743452931923,-1.6653549691400427,46.40194489465153,中立,やや弱
競馬場×クッション値階層,新潟×標準,母母父ブロック,極極極,1509,0.07157057654075547,0.06582527272965732,1.0872811242984735,0.9635467475545125,0.21338634857521538,0.19904417912108793,1.0720552066252709,1.645147784755283,96.32869449966867,中立,やや強
競馬場×クッション値階層,小倉×標準,母母父ブロック,地極極,653,0.0903522205206738,0.07991939475741149,1.1305418515108916,1.058701611969023,0.26033690658499237,0.23793931028344348,1.0941315509188787,1.6180773724183077,71.88361408882082,中立,やや強
競馬場×クッション値階層,阪神×やや高,父ブロック,極極地,829,0.09891435464414958,0.09895773269011503,0.9995616507696141,-0.004548385388749122,0.2677925211097708,0.2883632301178003,0.9286638972672553,-1.6130033865424576,69.48130277442704,中立,やや弱
競馬場×クッション値階層,中山×高,父ブロック,地バ極,1413,0.07784854918612881,0.06791931164021064,1.1461916692930632,1.600400739166596,0.21939136588818117,0.2059762548887029,1.0651294053614433,1.5025500246708585,77.14791224345362,やや強,やや強
競馬場×クッション値階層,新潟×やや高,母父ブロック,極極地,811,0.08384710234278668,0.0705670630456236,1.1881903358876813,1.5720914668612957,0.23057953144266338,0.21183292133305495,1.0884971513947732,1.541585279534684,79.38347718865597,やや強,やや強
競馬場×クッション値階層,中京×標準,母父ブロック,極極地,540,0.08333333333333333,0.07079654507356324,1.1770819218189725,1.2130331404491863,0.2388888888888889,0.21629943226010415,1.1044360421696369,1.534472940858855,80.31481481481484,中立,やや強
競馬場×クッション値階層,東京×やや高,母父ブロック,極極地,1151,0.08253692441355343,0.07191294521877856,1.1477338907821655,1.5210841869885012,0.21720243266724587,0.21894099399537073,0.9920592242850527,-0.17793854605352122,70.28670721112077,やや強,中立
競馬場×クッション値階層,小倉×やや高,母父ブロック,極極極,578,0.04844290657439446,0.06286514615695042,0.7705844897497081,-1.5171920815474527,0.20588235294117646,0.1952392316960083,1.0545132305260234,0.757243383799599,73.61591695501734,やや弱,中立
競馬場×クッション値階層,中京×高,父ブロック,地バ極,1063,0.08466603951081844,0.08151591597605817,1.0386442757471497,0.40412622441252155,0.2605832549388523,0.24392505948012733,1.0682922676916766,1.5162818081685938,82.29539040451557,中立,やや強
競馬場×クッション値階層,新潟×やや低,母母父ブロック,地極極,1402,0.05706134094151213,0.06642702330599017,0.8590079473930984,-1.5088749358638598,0.19757489300998574,0.20158196928713448,0.9801218517146191,-0.44439235665097376,78.93723252496433,やや弱,中立
競馬場×クッション値階層,新潟×やや高,母父ブロック,極極極,758,0.07387862796833773,0.06269038205851042,1.1784682999600329,1.3419274440592375,0.1741424802110818,0.19263415488946178,0.9040062511812043,-1.5083621781060084,74.81530343007914,中立,やや弱
競馬場×ダート含水率階層,中京×高,母母父ブロック,地極極,843,0.07473309608540925,0.069977086434541,1.067965242527169,0.5822460296257639,0.2443653618030842,0.21008625689445745,1.1631668126004444,2.911975841254892,85.9549228944247,中立,強
競馬場×ダート含水率階層,京都×やや高,母父ブロック,極極極,942,0.058386411889596604,0.07548668271616339,0.7734663888878874,-2.1481743830648083,0.20169851380042464,0.22612347478120753,0.8919839658203731,-2.176029016344525,44.309978768577515,弱,弱
競馬場×ダート含水率階層,中山×やや低,父ブロック,地バ極,687,0.06695778748180495,0.07894199530936075,0.8481897020642606,-1.270413701799458,0.20087336244541484,0.22915316263612198,0.876589963387879,-2.1702554622789854,48.10771470160116,中立,弱
競馬場×ダート含水率階層,東京×低,父ブロック,地バ極,1530,0.06339869281045751,0.0708230658312687,0.8951701266576166,-1.2286003435632717,0.22941176470588234,0.21126482183729622,1.085896661407084,2.0983269715139223,49.117647058823536,中立,やや強
競馬場×ダート含水率階層,中山×標準,父ブロック,地極極,500,0.084,0.07164740347527704,1.1724081533392259,1.1546168516491995,0.25,0.21797067239240675,1.1469432894620415,2.093032176932942,66.66,中立,強
競馬場×ダート含水率階層,中山×低,父ブロック,地地地,1582,0.05625790139064475,0.06283442247810724,0.8953356961344895,-1.1627496308927179,0.17446270543615677,0.19143121112468378,0.9113597746739689,-2.064202151708951,64.90518331226298,中立,やや弱
競馬場×ダート含水率階層,中山×やや高,父ブロック,地バ極,1370,0.07956204379562044,0.07572660404122754,1.0506485112194492,0.5816955113942069,0.20656934306569344,0.22552353075399895,0.9159547226627064,-2.03036252022869,73.41605839416057,中立,やや弱
競馬場×ダート含水率階層,中山×標準,父ブロック,地地地,1158,0.06044905008635579,0.06464304629442637,0.9351206904920847,-0.6318009569514469,0.17616580310880828,0.19568477496949208,0.9002529866530145,-2.0253942643216902,74.84455958549225,中立,やや弱
競馬場×ダート含水率階層,東京×低,父ブロック,地極極,686,0.08017492711370262,0.06556560301483678,1.2228199456285014,1.6761030104757841,0.22011661807580174,0.19505550698382837,1.1284819458804163,2.018331668278196,73.01749271137025,やや強,強
競馬場×ダート含水率階層,阪神×標準,父ブロック,地地地,1273,0.0589159465828751,0.07145334685241377,0.8245372565201942,-1.8855003824437537,0.194815396700707,0.21379367544605093,0.9112308691744581,-2.008094517854666,54.9096622152396,やや弱,やや弱
