ブロック,方向,信頼度,条件,3枝パターン,出走数,勝率,市場期待勝率,勝A_E,勝z,複勝率,市場期待複勝率,複勝A_E,複勝z,単勝回収率,勝期待判定,複勝期待判定,総合強度
父ブロック,プラス,B,阪神×1800×ダ,地地極,736,0.09782608695652174,0.07502549051761631,1.303904663356406,2.5504220425887545,0.24456521739130435,0.2280072929147992,1.0726201529119177,1.305472460684052,109.7961956521739,強,中立,2.5504220425887545
父ブロック,プラス,B,阪神×1400×芝,地バ極,681,0.08076358296622614,0.07539974935996988,1.0711386132153902,0.5654509978086792,0.26138032305433184,0.22920596944850508,1.1403731049555204,2.3520548151403275,55.13950073421439,中立,強,2.3520548151403275
父ブロック,プラス,B,中山×1800×ダ,地地極,1041,0.08357348703170028,0.06763358738918972,1.2356802331182914,2.2633473270563735,0.2084534101825168,0.1989190487234273,1.0479308619273857,0.952339661484538,110.24015369836695,強,中立,2.2633473270563735
父ブロック,プラス,C,東京×1400×ダ,極極極,365,0.07671232876712329,0.05296204615384708,1.4484396721434265,2.191761358182267,0.1726027397260274,0.15867620439160518,1.0877670056945161,0.886094427318812,112.30136986301366,強,中立,2.191761358182267
父ブロック,プラス,C,札幌×1500×芝,地バ極,421,0.0997624703087886,0.07501634812649188,1.3298763909510767,2.043707350434957,0.25415676959619954,0.23429979759674752,1.0847502738078663,1.1276458375918734,115.79572446555817,強,中立,2.043707350434957
父ブロック,プラス,B,京都×2000×芝,地バ極,630,0.10634920634920635,0.08610087528223766,1.2351698632632353,1.9579351621455263,0.2619047619047619,0.26087245982619667,1.0039571140596941,0.07225533948198311,73.20634920634919,やや強,中立,1.9579351621455263
父ブロック,プラス,B,新潟×2000×芝,地地地,635,0.10236220472440945,0.08249395045534975,1.2408449851097079,1.9493593739306814,0.2440944881889764,0.24342425477333968,1.002753355109419,0.04752872339252498,130.9448818897638,やや強,中立,1.9493593739306814
父ブロック,プラス,B,新潟×1200×ダ,地極極,780,0.0782051282051282,0.07273275645366724,1.0752394384357893,0.6312471770449843,0.23974358974358975,0.21547652972994452,1.112620432694266,1.9416136024155328,94.96153846153844,中立,やや強,1.9416136024155328
父ブロック,プラス,C,阪神×1800×ダ,地地バ,315,0.09523809523809523,0.06977137712140616,1.3650023715652844,1.9371172182596854,0.23809523809523808,0.21271423995571442,1.1193196945573922,1.365793047847254,87.74603174603173,やや強,中立,1.9371172182596854
父ブロック,プラス,B,阪神×1400×ダ,地バ極,1589,0.08244178728760226,0.07089532352344115,1.1628663667829,1.9285658991219066,0.2183763373190686,0.2116539397594699,1.031761268262893,0.7857796390290862,80.60415355569542,やや強,中立,1.9285658991219066
父ブロック,プラス,B,中山×1600×芝,地バ極,1483,0.07417397167902899,0.06636528104403953,1.1176622853417537,1.297611317781729,0.22049898853674982,0.203933160735167,1.0812316532625885,1.8886279379020214,83.58057990559672,中立,やや強,1.8886279379020214
父ブロック,プラス,B,中山×1200×ダ,地極極,1778,0.08267716535433071,0.07314067148804992,1.13038564826191,1.6636996380281182,0.23340832395950506,0.21801242619579903,1.0706193588703004,1.8825035145395144,86.85039370078742,やや強,やや強,1.8825035145395144
父ブロック,プラス,B,東京×1400×ダ,地極極,1164,0.06529209621993128,0.06006003105062256,1.0871139271456383,0.8027723344581972,0.2027491408934708,0.1853116724461812,1.094098057705209,1.8085747332851314,56.056701030927854,中立,やや強,1.8085747332851314
父ブロック,プラス,B,新潟×1800×芝,地地地,847,0.09090909090909091,0.07987704368006873,1.1381128634806366,1.2932205728716484,0.2538370720188902,0.23274102897009943,1.0906417022479564,1.7608609439355036,75.34828807556083,中立,やや強,1.7608609439355036
父ブロック,プラス,B,中京×1400×ダ,地地極,537,0.0633147113594041,0.05895656362340253,1.0739213323870123,0.4580931955147385,0.2048417132216015,0.1800737259122615,1.1375435932358497,1.753821883842296,41.396648044692746,中立,やや強,1.753821883842296
父ブロック,プラス,B,東京×1400×ダ,地地極,960,0.07395833333333333,0.06561964968596908,1.127076015907888,1.1350104494806328,0.21145833333333333,0.19330821477153556,1.0938921223976372,1.7452838724147741,67.46875,中立,やや強,1.7452838724147741
父ブロック,プラス,C,中山×1800×ダ,バ極地,317,0.08832807570977919,0.07707533094996392,1.1459967102459847,0.8097071240281303,0.26498422712933756,0.23079386038517444,1.148142444894775,1.7266138361651642,85.96214511041009,中立,やや強,1.7266138361651642
父ブロック,プラス,B,京都×1800×ダ,地バ極,1487,0.0847343644922663,0.0791060898976167,1.0711484362573604,0.8680852445342379,0.25756556825823806,0.2428963695998767,1.0603928279476798,1.6086648902142686,87.91526563550774,中立,やや強,1.6086648902142686
父ブロック,プラス,C,中山×1200×ダ,バ極地,306,0.0718954248366013,0.0661088725637427,1.0875306452591393,0.4404090933512592,0.22875816993464052,0.19845189930268742,1.1527134320127048,1.5911497258870517,56.66666666666668,中立,やや強,1.5911497258870517
父ブロック,プラス,B,福島×1800×芝,地バ極,735,0.08843537414965986,0.07411074907030638,1.1932867399000946,1.5836782081270135,0.24353741496598638,0.224751259954424,1.083586428015451,1.4448693586983845,126.24489795918366,やや強,中立,1.5836782081270135
父ブロック,プラス,B,東京×1600×芝,地バ極,1542,0.07328145265888457,0.06751794143127365,1.0853626622114594,0.9748680364580969,0.2243839169909209,0.2110676584352966,1.0630899999286552,1.550626866398266,80.473411154345,中立,やや強,1.550626866398266
父ブロック,プラス,C,東京×1600×ダ,極地極,355,0.059154929577464786,0.04745137181185854,1.2466431910969837,1.1214144032999287,0.17464788732394365,0.15011736435905462,1.1634089638438916,1.5452368319376446,118.64788732394366,中立,やや強,1.5452368319376446
父ブロック,プラス,C,中京×1400×ダ,極極地,449,0.0779510022271715,0.06595049329022584,1.181962383270364,1.0948280743782237,0.22048997772828507,0.19673851754206725,1.1207260300776598,1.503010426744792,118.86414253897549,中立,やや強,1.503010426744792
父ブロック,マイナス,C,札幌×1700×ダ,地極極,349,0.02865329512893983,0.06783533242634322,0.4223948509436741,-3.0654329969551934,0.166189111747851,0.21162490622573424,0.7853003444244027,-2.4047869364689847,42.26361031518625,弱,弱,3.0654329969551934
父ブロック,マイナス,C,東京×2400×芝,極極地,447,0.0894854586129754,0.09811295188680039,0.912065704803387,-0.669708220433218,0.2371364653243848,0.285750666041993,0.8298719600868261,-2.8113514137626385,65.10067114093958,中立,弱,2.8113514137626385
父ブロック,マイナス,B,新潟×2000×芝,地バ極,520,0.04423076923076923,0.07405319597583748,0.5972837316191068,-2.773941595527303,0.19038461538461537,0.2248033654172541,0.8468939734565157,-2.2412613439926146,41.76923076923077,弱,弱,2.773941595527303
