血統登録番号,馬名,父正規名,母父正規名,母母父正規名,枝1_父ブロック_父父,枝2_父ブロック_母父,枝3_父ブロック_母母父,枝4_母父ブロック_父父,枝5_母父ブロック_母父,枝6_母父ブロック_母母父,枝7_母母父ブロック_父父,枝8_母母父ブロック_母父,枝9_母母父ブロック_母母父,現代馬9枝シグネチャ
2019101697,ダノンブルズアイ,ダノンレジェンド,ディープインパクト,ボストンハーバー,地,極,極,極,極,地,極,極,極,地・極・極｜極・極・地｜極・極・極
2019102439,ラッキーガブリエル,ビッグアーサー,フジキセキ,Zafonic,地,地,極,極,極,極,極,極,極,地・地・極｜極・極・極｜極・極・極
2019105737,カペラスター,スピルバーグ,El Prado,Cure the Blues,地,バ,極,地,極,極,極,極,極,地・バ・極｜地・極・極｜極・極・極
2019101584,チョウザメノコ,サトノアラジン,ノボジャック,Gone West,地,バ,極,地,極,極,極,極,極,地・バ・極｜地・極・極｜極・極・極
2020104174,レジーナローズ,リオンディーズ,マンハッタンカフェ,エルコンドルパサー,地,地,地,極,極,地,極,地,地,地・地・地｜極・極・地｜極・地・地
2020105615,マスキュリン,ワンアンドオンリー,Danehill,Bluebird,地,地,バ,地,バ,地,地,極,極,地・地・バ｜地・バ・地｜地・極・極
2020104351,ブランディー,エピファネイア,クロフネ,ジェイドロバリー,極,地,バ,地,極,極,極,極,極,極・地・バ｜地・極・極｜極・極・極
2020103093,プレジャークルーズ,ダイワメジャー,Bellamy Road,Pulpit,極,極,地,地,極,バ,極,極,極,極・極・地｜地・極・バ｜極・極・極
2020103710,ホウオウジュビリー,リアルスティール,Diesis,Shirley Heights,地,バ,極,地,地,極,極,極,極,地・バ・極｜地・地・極｜極・極・極
2020103247,メテオールライト,リオンディーズ,アグネスタキオン,Grand Lodge,地,地,地,極,極,地,地,極,極,地・地・地｜極・極・地｜地・極・極
2020105760,エリダヌス,ゴールドシップ,ダノンシャンティ,ダイナガリバー,地,極,地,地,極,極,地,極,極,地・極・地｜地・極・極｜地・極・極
2020100809,アマイ,ダノンバラード,タイキシャトル,Gulch,地,バ,極,極,極,極,極,極,極,地・バ・極｜極・極・極｜極・極・極
2020101830,エテルネル,タリスマニック,ストリートセンス,サンデーサイレンス,地,地,極,極,地,極,極,極,極,地・地・極｜極・地・極｜極・極・極
2020100607,サンティーテソーロ,エピファネイア,ダンスインザダーク,ロックオブジブラルタル,極,地,バ,極,極,極,地,地,極,極・地・バ｜極・極・極｜地・地・極
2020102577,ホンマモン,ロードカナロア,Galileo,Ogygian,地,地,地,地,極,地,極,極,極,地・地・地｜地・極・地｜極・極・極
2020103462,ノットファウンド,ドゥラメンテ,Sightseeing,Dehere,地,地,地,バ,極,極,バ,極,極,地・地・地｜バ・極・極｜バ・極・極
2020106646,ココリイト,ハーツクライ,Mr. Greeley,Sadler's Wells,極,極,地,極,極,極,地,極,極,極・極・地｜極・極・極｜地・極・極
2020103616,フェブランシェ,リアルスティール,クロフネ,Seattle Slew,地,バ,極,地,極,極,極,極,極,地・バ・極｜地・極・極｜極・極・極
2020105772,サンガルガーノ,スクリーンヒーロー,スターオブコジーン,シンコウキング,バ,地,地,極,極,極,地,極,極,バ・地・地｜極・極・極｜地・極・極
2020106537,ウィルオブラガー,ファインニードル,ダイワメジャー,Red Ransom,地,地,地,極,極,地,極,極,極,地・地・地｜極・極・地｜極・極・極
2020101655,マンダリンボレロ,スピルバーグ,アドマイヤムーン,King's Best,地,バ,極,地,地,地,極,地,地,地・バ・極｜地・地・地｜極・地・地
2020110007,ペースセッティング,Showcasing,Fast Company,Johannesburg,地,バ,バ,地,地,極,地,バ,極,地・バ・バ｜地・地・極｜地・バ・極
