level,場所,surface,距離,距離変化区分,lead_n,first_n,win_n,LeadAdj_Raw,FirstAdj_Raw,WinAdj_Raw,LeadAdj_Prod,FirstAdj_Prod,WinAdj_Prod
COURSE,中京,芝,2000.0,短縮200-399,241,241,241,0.029769894118501727,-0.1096364968927186,0.01658327675315223,0.007949633775688551,-0.07319223199763207,0.0033212490561022327
COURSE,中京,芝,2000.0,短縮400m+,198,198,198,-9.224872235508164e-06,-0.125401300052909,-0.008145337187079965,-2.2975153492209012e-06,-0.07808005474992447,-0.0015214875123036162
COURSE,中京,芝,2200.0,同距離,311,311,311,-0.01182560361731666,0.013074299242700427,0.021296416723244282,-0.0034132368677359456,0.009434123119442767,0.004610105986725502
COURSE,中京,芝,2200.0,延長200-399,616,616,616,0.01318274815952386,0.003720143600544845,0.014150427664071943,0.004413354818623206,0.003113598448282099,0.0035529878156528466
COURSE,中京,芝,2200.0,延長400m+,337,337,337,0.021540488342189856,0.0007435964737676493,-0.04574109031349945,0.006353737042729087,0.0005483413821875226,-0.010119090220338717
COURSE,中京,芝,2200.0,短縮200-399,230,230,230,-0.009784501981639326,-0.0010981795418910645,0.03466143839247397,-0.0025719262351737663,-0.0007216608418141281,0.0068332549973734395
COURSE,中京,芝,2200.0,短縮400m+,131,131,131,0.004619746275911288,-0.010229178708520026,0.005587425780459371,0.0009644410552101652,-0.005338734704446706,0.0008748439568607699
COURSE,中京,芝,3000.0,延長400m+,42,42,42,0.0,0.02018310307806115,0.0028571428571428498,0.0,0.005232656353571409,0.0002222222222222216
COURSE,中山,ダ,1200.0,同距離,5655,5655,5655,0.0,-0.0027961052658866947,0.004896145034086585,0.0,-0.0027380043772448934,0.0014383220866368643
COURSE,中山,ダ,1200.0,延長1-199,441,441,441,0.0,-0.0019623259795911174,-0.005175009864654523,0.0,-0.0015425771069513064,-0.001220416764873072
COURSE,中山,ダ,1200.0,延長200-399,378,378,378,0.0,-0.0016227080095874147,-0.03427553896518362,0.0,-0.00123169403137358,-0.007804911884843018
COURSE,中山,ダ,1200.0,短縮1-199,396,396,396,0.0,-0.003999837587294497,-0.0030105077001523484,0.0,-0.0030696427995515908,-0.0006931168891048429
